PublicID	Analyzable	AccessionNumber	NewlySubmittedSample	Country	Province	Year	Source	Population	Cov5x	Cov10x	Cov25x	Cov50x	Cov100x	CovTotal	LenTotal	Fws	SampleInJointCallVcf	InImputedDeconvolutedVCF	RemovedInDedup	Hap1Ratio	Hap2Ratio
CVD_THA_001	True	SRR25607327	True	Thailand	Ubon ratchathani	2019	AFRIMS	ESEA	22234608.0	21848901.0	20741059.0	18830309.0	14701696.0	2874703696.0	22689173.0	0.988068174039891	True	True	False	0.74	0.26
CVD_KHM_226	True	SRR25607326	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	10425616.0	1531964.0	20732.0	1193.0	0.0	125558522.0	22144570.0	0.90239688022311	True	True	False	0.76	0.22
CVD_KHM_227	True	SRR25607026	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	22596563.0	22303005.0	20005161.0	12905495.0	905921.0	1299745737.0	22851306.0	0.922231916781522	True	True	False	0.75	0.25
CVD_KHM_228	True	SRR25607008	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	22544539.0	22177039.0	19593759.0	12448792.0	689850.0	1251836302.0	22878056.0	0.904301807723378	True	True	False	1.0	0.0
CVD_KHM_229	True	SRR25606848	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	22548855.0	22300919.0	20624224.0	15027830.0	3612817.0	1557303898.0	22783709.0	0.992071786493401	True	True	False	1.0	0.0
CVD_KHM_230	True	SRR25607428	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	21382166.0	18132077.0	5697147.0	214660.0	22987.0	441865114.0	22732925.0	0.948284088169283	True	True	False	0.7	0.2
CVD_KHM_231	True	SRR25606867	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	22540150.0	22344615.0	21382663.0	17715285.0	7320811.0	2320620112.0	22795388.0	0.990071258831027	True	True	False	1.0	0.0
CVD_KHM_232	True	SRR25607164	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	22569423.0	22290050.0	20067560.0	12208526.0	281733.0	1193206095.0	22818620.0	0.985540152956297	True	True	False	1.0	0.0
CVD_KHM_233	True	SRR25607396	True	Cambodia	Oddar Meanchey	2014	AFRIMS	ESEA	22614908.0	22427894.0	21268219.0	16690863.0	7432875.0	1806247279.0	22811913.0	0.9913478669067	True	True	False	1.0	0.0
CVD_KHM_273	True	SRR25607385	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22636769.0	22537161.0	22217066.0	21011970.0	14371023.0	2738719745.0	22809695.0	0.987551174561112	True	True	False	1.0	0.0
CVD_KHM_274	True	SRR25607325	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22103651.0	20760727.0	13865329.0	3533077.0	127660.0	751146190.0	22741049.0	0.991315210522474	True	True	False	1.0	0.0
CVD_KHM_275	True	SRR25607314	True	Cambodia	Oddar Meanchey	2015	AFRIMS	ESEA	22649024.0	22497885.0	21726817.0	17725168.0	4030005.0	1710288448.0	22829839.0	0.988882289045818	True	True	False	1.0	0.0
